TARIFARIO FOTON 2025                                                                 RODANDO,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
ORIGEN: LAGOS DE MORENO,,,,,,,,,
,,,,,,,,,
DESTINO,KILOMETROS,"LIGEROS $18 (MILLER, S3, S5, S6)","MEDIANO $20 (S8, S12, S20)","PESADO $25 (EST-A, GALAXY, EST-S35, S35, S38, ISG, X13)",Columna3,KILOMETROS2,DESTINO2,"BUSES $28 (AUV, ARAÑAS O BUSES CARROZADOS)",LOWBOY $80
AGUASCALIENTES,89," $1,602.00 "," $1,780.00 "," $2,225.00 ",, $86.00 , AGUASCALIENTES ," $2,492.00 "," $7,120.00 "
BAJA CALIFORNIA (MEXICALI),2231," $40,158.00 "," $44,620.00 "," $55,775.00 ",," $2,239.00 ", BAJA CALIFORNIA  ," $62,468.00 "," $178,480.00 "
BAJA CALIFORNIA SUR (LA PAZ) + COSTO DE FERRI,1095," $19,710.00 "," $21,900.00 "," $27,375.00 ",," $1,305.00 ", BAJA CALIFORNIA SUR ," $30,660.00 "," $87,600.00 "
CHIAPAS (TUXTLA),1253," $22,554.00 "," $25,060.00 "," $31,325.00 ",," $1,554.00 ", CAMPECHE  ," $35,084.00 "," $100,240.00 "
CHIAPAS (TAPACHULA),1565," $28,170.00 "," $31,300.00 "," $39,125.00 ",," $1,310.00 ", CHIAPAS ," $43,820.00 "," $125,200.00 "
COAHUILA (TORREON),620," $11,160.00 "," $12,400.00 "," $15,500.00 ",," $1,311.00 ", CHIAPAS ," $17,360.00 "," $49,600.00 "
"CIUDAD DE MEXICO, TLAPAN",445," $8,010.00 "," $8,900.00 "," $11,125.00 ",, $598.00 , COAHUILA ," $12,460.00 "," $35,600.00 "
COLIMA,468," $8,424.00 "," $9,360.00 "," $11,700.00 ",, $430.00 , CIUDAD DE MEXICO ," $13,104.00 "," $37,440.00 "
 DURANGO ,502," $9,036.00 "," $10,040.00 "," $12,550.00 ",, $374.00 , COLIMA ," $14,056.00 "," $40,160.00 "
GUANAJUATO (LEON),85," $1,530.00 "," $1,700.00 "," $2,125.00 ",, $513.00 , DURANGO ," $2,380.00 "," $6,800.00 "
GUERRERO (CHILPANCINGO),700," $12,600.00 "," $14,000.00 "," $17,500.00 ",, $111.00 , GUANAJUATO  ," $19,600.00 "," $56,000.00 "
HIDALGO (TULA),439," $7,902.00 "," $8,780.00 "," $10,975.00 ",, $775.00 , GUERRERO ," $12,292.00 "," $35,120.00 "
PLANTA 3 TLAJOMULCO,228," $4,104.00 "," $4,560.00 "," $5,700.00 ",, $435.00 , HIDALGO ," $6,384.00 "," $18,240.00 "
 PLANTA 2 JALISCO ,19, $342.00 , $380.00 , $475.00 ,,,, $532.00 ," $1,520.00 "
 JALISCO (XIAN MOTORS) ,200," $3,600.00 "," $4,000.00 "," $5,000.00 ",, $183.00 , JALISCO ," $5,600.00 "," $16,000.00 "
ALMACEN MONTENEGRO,400," $7,200.00 "," $8,000.00 "," $10,000.00 ",, $184.00 , JALISCO ," $11,200.00 "," $32,000.00 "
 CUERNAVACA ,509," $9,162.00 "," $10,180.00 "," $12,725.00 ",,,," $14,252.00 "," $40,720.00 "
