"﻿""# =========================================================================""",,,,,,,,,,,
# TARIFARIO GENERAL DE RUTAS LOGISTICAS (RESUMEN MATRICIAL) - 18/08/2026 11:07,,,,,,,,,,,
# =========================================================================,,,,,,,,,,,
MODALIDAD,ORIGEN,DESTINO,KM,LIGEROS,MEDIANO,PESADO,BUSES,LOWBOY,,,
Chofer (Rodando),AlmacÃ©n Montenegro Central,Agencia Monterrey (Gonzalitos),3444,12000,13330,1660,25550,232320,,,
Chofer (Rodando),LAGOS DE MORENO,AGUASCALIENTES,89,1602,1780,2225,2492,7120,,,
Chofer (Rodando),LAGOS DE MORENO,ALMACEN MONTENEGRO,400,7200,8000,10000,11200,32000,,,
Chofer (Rodando),LAGOS DE MORENO,BAJA CALIFORNIA (MEXICALI),2231,40158,44620,55775,62468,178480,,,
Chofer (Rodando),LAGOS DE MORENO,BAJA CALIFORNIA SUR (LA PAZ) + COSTO DE FERRI,1095,19710,21900,27375,30660,87600,,,
Chofer (Rodando),LAGOS DE MORENO,CHIAPAS (TAPACHULA),1565,28170,31300,39125,43820,125200,,,
Chofer (Rodando),LAGOS DE MORENO,CHIAPAS (TUXTLA),1253,22554,25060,31325,35084,100240,,,
Chofer (Rodando),LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,8010,8900,11125,12460,35600,,,
Chofer (Rodando),LAGOS DE MORENO,CMV INSURGENTES,446,8028,8920,11150,12488,35680,,,
Chofer (Rodando),LAGOS DE MORENO,CMV TLANEPANTA,407,7326,8140,10175,11396,32560,,,
Chofer (Rodando),LAGOS DE MORENO,COAHUILA (TORREON),620,11160,12400,15500,17360,49600,,,
Chofer (Rodando),LAGOS DE MORENO,COLIMA,468,8424,9360,11700,13104,37440,,,
Chofer (Rodando),LAGOS DE MORENO,CORPORATIVO FOTON CDMX,432,7776,8640,10800,12096,34560,,,
Chofer (Rodando),LAGOS DE MORENO,CUERNAVACA,509,9162,10180,12725,14252,40720,,,
Chofer (Rodando),LAGOS DE MORENO,DURANGO,502,9036,10040,12550,14056,40160,,,
Chofer (Rodando),LAGOS DE MORENO,ECATEPEC,416,7488,8320,10400,11648,33280,,,
Chofer (Rodando),LAGOS DE MORENO,ESCOBEDO,681,12258,13620,17025,19068,54480,,,
Chofer (Rodando),LAGOS DE MORENO,GUANAJUATO (LEON),85,1530,1700,2125,2380,6800,,,
Chofer (Rodando),LAGOS DE MORENO,GUERRERO (CHILPANCINGO),700,12600,14000,17500,19600,56000,,,
Chofer (Rodando),LAGOS DE MORENO,HIDALGO (TULA),439,7902,8780,10975,12292,35120,,,
Chofer (Rodando),LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,3600,4000,5000,5600,16000,,,
Chofer (Rodando),LAGOS DE MORENO,LOS MOCHIS,1054,18972,21080,26350,29512,84320,,,
Chofer (Rodando),LAGOS DE MORENO,MICHOACAN URUAPAN,350,6300,7000,8750,9800,28000,,,
Chofer (Rodando),LAGOS DE MORENO,MONTERREY,683,12294,13660,17075,19124,54640,,,
Chofer (Rodando),LAGOS DE MORENO,NAYARIT (TEPIC),375,6750,7500,9375,10500,30000,,,
Chofer (Rodando),LAGOS DE MORENO,OAXACA,880,15840,17600,22000,24640,70400,,,
Chofer (Rodando),LAGOS DE MORENO,PLANTA 2 JALISCO,19,342,380,475,532,1520,,,
Chofer (Rodando),LAGOS DE MORENO,PLANTA 3 TLAJOMULCO,228,4104,4560,5700,6384,18240,,,
Chofer (Rodando),LAGOS DE MORENO,PUEBLA (ASTURCAR),544,9792,10880,13600,15232,43520,,,
Chofer (Rodando),LAGOS DE MORENO,PUEBLA (ECO TRUKS),545,9810,10900,13625,15260,43600,,,
Chofer (Rodando),LAGOS DE MORENO,QUERETARO,249,4482,4980,6225,6972,19920,,,
Chofer (Rodando),LAGOS DE MORENO,QUINTANA ROO (CANCUN),2017,36306,40340,50425,56476,161360,,,
Chofer (Rodando),LAGOS DE MORENO,SAN LUIS POTOSI,160,2880,3200,4000,4480,12800,,,
Chofer (Rodando),LAGOS DE MORENO,SINALOA (CD OBREGON),1275,22950,25500,31875,35700,102000,,,
Chofer (Rodando),LAGOS DE MORENO,SINALOA (CULIACAN),852,15336,17040,21300,23856,68160,,,
Chofer (Rodando),LAGOS DE MORENO,SONORA (HERMOSILLO),1540,27720,30800,38500,43120,123200,,,
Chofer (Rodando),LAGOS DE MORENO,TABASCO (VILLAHERMOSA),1170,21060,23400,29250,32760,93600,,,
Chofer (Rodando),LAGOS DE MORENO,TAMAULIPAS (ALTAMIRA),610,10980,12200,15250,17080,48800,,,
Chofer (Rodando),LAGOS DE MORENO,TLAXCALA,520,9360,10400,13000,14560,41600,,,
Chofer (Rodando),LAGOS DE MORENO,TOLUCA,450,8100,9000,11250,12600,36000,,,
Chofer (Rodando),LAGOS DE MORENO,YUCATAN (MERIDA),1730,31140,34600,43250,48440,138400,,,
Chofer (Rodando),LAGOS DE MORENO,ZACATECAS,220,3960,4400,5500,6160,17600,,,
Madrina,LAGOS DE MORENO,AGUASCALIENTES,89,1602,1780,2225,2492,7120,,,
Madrina,LAGOS DE MORENO,ALMACEN MONTENEGRO,400,7200,8000,10000,11200,32000,,,
Madrina,LAGOS DE MORENO,BAJA CALIFORNIA (MEXICALI),2231,40158,44620,55775,62468,178480,,,
Madrina,LAGOS DE MORENO,BAJA CALIFORNIA SUR (LA PAZ) + COSTO DE FERRI,1095,19710,21900,27375,30660,87600,,,
Madrina,LAGOS DE MORENO,CHIAPAS (TAPACHULA),1565,28170,31300,39125,43820,125200,,,
Madrina,LAGOS DE MORENO,CHIAPAS (TUXTLA),1253,22554,25060,31325,35084,100240,,,
Madrina,LAGOS DE MORENO,"CIUDAD DE MEXICO, TLAPAN",445,8010,8900,11125,12460,35600,,,
Madrina,LAGOS DE MORENO,CMV INSURGENTES,446,8028,8920,11150,12488,35680,,,
Madrina,LAGOS DE MORENO,CMV TLANEPANTA,407,7326,8140,10175,11396,32560,,,
Madrina,LAGOS DE MORENO,COAHUILA (TORREON),620,11160,12400,15500,17360,49600,,,
Madrina,LAGOS DE MORENO,COLIMA,468,8424,9360,11700,13104,37440,,,
Madrina,LAGOS DE MORENO,CORPORATIVO FOTON CDMX,432,7776,8640,10800,12096,34560,,,
Madrina,LAGOS DE MORENO,CUERNAVACA,509,9162,10180,12725,14252,40720,,,
Madrina,LAGOS DE MORENO,DURANGO,502,9036,10040,12550,14056,40160,,,
Madrina,LAGOS DE MORENO,ECATEPEC,416,7488,8320,10400,11648,33280,,,
Madrina,LAGOS DE MORENO,ESCOBEDO,681,12258,13620,17025,19068,54480,,,
Madrina,LAGOS DE MORENO,GUANAJUATO (LEON),85,1530,1700,2125,2380,6800,,,
Madrina,LAGOS DE MORENO,GUERRERO (CHILPANCINGO),700,12600,14000,17500,19600,56000,,,
Madrina,LAGOS DE MORENO,HIDALGO (TULA),439,7902,8780,10975,12292,35120,,,
Madrina,LAGOS DE MORENO,JALISCO (XIAN MOTORS),200,3600,4000,5000,5600,16000,,,
Madrina,LAGOS DE MORENO,LOS MOCHIS,1054,18972,21080,26350,29512,84320,,,
Madrina,LAGOS DE MORENO,MICHOACAN URUAPAN,350,6300,7000,8750,9800,28000,,,
Madrina,LAGOS DE MORENO,MONTERREY,683,12294,13660,17075,19124,54640,,,
Madrina,LAGOS DE MORENO,NAYARIT (TEPIC),375,6750,7500,9375,10500,30000,,,
Madrina,LAGOS DE MORENO,OAXACA,880,15840,17600,22000,24640,70400,,,
Madrina,LAGOS DE MORENO,PLANTA 2 JALISCO,19,342,380,475,532,1520,,,
Madrina,LAGOS DE MORENO,PLANTA 3 TLAJOMULCO,228,4104,4560,5700,6384,18240,,,
Madrina,LAGOS DE MORENO,PUEBLA (ASTURCAR),544,9792,10880,13600,15232,43520,,,
Madrina,LAGOS DE MORENO,PUEBLA (ECO TRUKS),545,9810,10900,13625,15260,43600,,,
Madrina,LAGOS DE MORENO,QUERETARO,249,4482,4980,6225,6972,19920,,,
Madrina,LAGOS DE MORENO,QUINTANA ROO (CANCUN),2017,36306,40340,50425,56476,161360,,,
Madrina,LAGOS DE MORENO,SAN LUIS POTOSI,160,2880,3200,4000,4480,12800,,,
Madrina,LAGOS DE MORENO,SINALOA (CD OBREGON),1275,22950,25500,31875,35700,102000,,,
Madrina,LAGOS DE MORENO,SINALOA (CULIACAN),852,15336,17040,21300,23856,68160,,,
Madrina,LAGOS DE MORENO,SONORA (HERMOSILLO),1540,27720,30800,38500,43120,123200,,,
Madrina,LAGOS DE MORENO,TABASCO (VILLAHERMOSA),1170,21060,23400,29250,32760,93600,,,
Madrina,LAGOS DE MORENO,TAMAULIPAS (ALTAMIRA),610,10980,12200,15250,17080,48800,,,
Madrina,LAGOS DE MORENO,TLAXCALA,520,9360,10400,13000,14560,41600,,,
Madrina,LAGOS DE MORENO,TOLUCA,450,8100,9000,11250,12600,36000,,,
Madrina,LAGOS DE MORENO,YUCATAN (MERIDA),1730,31140,34600,43250,48440,138400,,,
Madrina,LAGOS DE MORENO,ZACATECAS,220,3960,4400,5500,6160,17600,,,
,,,,,,,,,,,
# =========================================================================,,,,,,,,,,,
# DESGLOSE DETALLADO POR FACTORES DE VOLUMEN (1 A 15 UNIDADES),,,,,,,,,,,
# =========================================================================,,,,,,,,,,,
MODALIDAD,ORIGEN,DESTINO,KM,SEGMENTO,COSTO_POR_KM,PRECIO_PLANO,UNIDADES_MIN,UNIDADES_MAX,FACTOR_MULTIPLICADOR,PRECIO_UNITARIO_VIN,TOTAL_FLETE
Chofer (Rodando),AlmacÃ©n Montenegro Central,Agencia Monterrey (Gonzalitos),3444,LIGEROS,0,12000,1,1,1,12000,12000
